scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
tokens-1-percent,greedy,12,lost,30915,36,0,49,44,5,5,0,0
tokens-1-percent,builder,1,lost,1658,23,0,12,10,2,2,0,0
tokens-1-percent,builder,2,won,37996,34,0,56,45,11,3,0,0
tokens-1-percent,builder,3,won,36845,52,0,52,45,7,3,0,0
tokens-1-percent,builder,4,lost,3457,22,0,20,19,1,2,1,0
tokens-1-percent,builder,5,lost,2195,12,0,16,15,1,4,0,0
tokens-1-percent,builder,6,lost,43226,40,0,56,45,11,4,0,0
tokens-1-percent,builder,7,won,58852,22,0,57,40,17,5,0,0
tokens-1-percent,builder,8,won,43732,41,0,53,49,4,4,0,0
tokens-1-percent,builder,9,won,57956,41,0,54,45,9,4,0,0
tokens-1-percent,builder,10,lost,24265,55,0,43,37,6,3,1,0
tokens-1-percent,builder,11,won,50550,32,0,56,44,12,5,0,0
tokens-1-percent,builder,12,won,38053,41,0,53,49,4,3,0,0
tokens-5-percent,greedy,1,won,52321,25,0,57,50,7,3,0,0
tokens-5-percent,greedy,2,won,36276,31,0,56,55,1,3,0,0
tokens-5-percent,greedy,3,won,39520,35,0,56,55,1,3,0,0
tokens-5-percent,greedy,4,lost,19359,30,0,41,38,3,3,0,0
tokens-5-percent,greedy,5,won,43785,42,0,54,51,3,3,0,0
tokens-5-percent,greedy,6,won,38797,42,0,55,55,0,2,0,0
tokens-5-percent,greedy,7,won,39121,23,0,60,51,9,3,0,0
tokens-5-percent,greedy,8,won,46687,36,0,56,51,5,4,0,0
tokens-5-percent,greedy,9,lost,42615,44,0,56,52,4,4,0,0
tokens-5-percent,greedy,10,won,35009,41,0,59,56,3,2,0,0
tokens-5-percent,greedy,11,won,40569,46,0,50,50,0,3,0,0
tokens-5-percent,greedy,12,won,39952,31,0,60,51,9,2,0,0
tokens-5-percent,builder,1,won,37369,55,0,48,45,3,2,0,0
tokens-5-percent,builder,2,won,37849,46,0,53,45,8,3,0,0
tokens-5-percent,builder,3,won,44469,36,0,58,50,8,4,0,0
tokens-5-percent,builder,4,lost,25833,36,0,50,41,9,3,0,0
tokens-5-percent,builder,5,won,40112,30,0,55,44,11,3,0,0
tokens-5-percent,builder,6,won,72162,29,0,57,49,8,5,0,0
tokens-5-percent,builder,7,won,38758,38,0,54,40,14,3,0,0
tokens-5-percent,builder,8,lost,19199,45,0,36,32,4,4,0,0
tokens-5-percent,builder,9,lost,10475,19,0,32,29,3,4,0,0
tokens-5-percent,builder,10,won,38198,41,0,56,45,11,3,0,0
tokens-5-percent,builder,11,won,41165,38,0,53,40,13,3,0,0
tokens-5-percent,builder,12,lost,35046,39,0,59,50,9,4,0,0
trinket-cost-3,greedy,1,won,46493,33,0,56,50,6,3,0,0
trinket-cost-3,greedy,2,won,39050,34,0,54,44,10,2,0,0
trinket-cost-3,greedy,3,won,39658,41,0,54,44,10,3,0,0
trinket-cost-3,greedy,4,won,42869,30,0,57,44,13,6,0,0
trinket-cost-3,greedy,5,won,36384,45,0,54,49,5,3,0,0
trinket-cost-3,greedy,6,won,38991,45,0,53,46,7,3,1,0
trinket-cost-3,greedy,7,won,41884,32,0,57,47,10,4,0,0
trinket-cost-3,greedy,8,lost,4747,20,0,20,19,1,4,0,0
